Symbol,Company Name
MMFL,MM Forgings Limited
VENKEYS,Venky's (India) Limited
RAMKY,Ramky Infrastructure Limited
DIVGIITTS,Divgi Torqtransfer Systems Limited
CAMLINFINE,Camlin Fine Sciences Limited
SHILPAMED,Shilpa Medicare Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
MOL,Meghmani Organics Limited
DOLLAR,Dollar Industries Limited
VSTTILLERS,V.S.T Tillers Tractors Limited
SUBROS,Subros Limited
DCAL,Dishman Carbogen Amcis Limited
GABRIEL,Gabriel India Limited
MAXVIL,Max Ventures and Industries Limited
SIYSIL,Siyaram Silk Mills Limited
TVSSRICHAK,TVS Srichakra Limited
ASTRAMICRO,Astra Microwave Products Limited
JKIL,J.Kumar Infraprojects Limited
JAGRAN,Jagran Prakashan Limited
ELECTCAST,Electrosteel Castings Limited
CARERATING,CARE Ratings Limited
INDIAGLYCO,India Glycols Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
KOLTEPATIL,Kolte - Patil Developers Limited
IMAGICAA,Imagicaaworld Entertainment Limited
WELENT,Welspun Enterprises Limited
TIPSINDLTD,TIPS Industries Limited
SWARAJENG,Swaraj Engines Limited
MAYURUNIQ,Mayur Uniquoters Ltd
GANECOS,Ganesha Ecosphere Limited
PARAS,Paras Defence and Space Technologies Limited
LUMAXTECH,Lumax Auto Technologies Limited
ACCELYA,Accelya Solutions India Limited
KESORAMIND,Kesoram Industries Limited
CARTRADE,Cartrade Tech Limited
MPSLTD,MPS Limited
SEQUENT,Sequent Scientific Limited
HIL,HIL Limited
GUFICBIO,Gufic Biosciences Limited
ITDCEM,ITD Cementation India Limited
PILANIINVS,Pilani Investment and Industries Corporation Limited
MSTCLTD,Mstc Limited
LSIL,Lloyds Steels Industries Limited
PANAMAPET,Panama Petrochem Limited
OPTIEMUS,Optiemus Infracom Limited
SIRCA,Sirca Paints India Limited
TIRUMALCHM,Thirumalai Chemicals Limited
DYNAMATECH,Dynamatic Technologies Limited
SUNDARMHLD,Sundaram Finance Holdings Limited
TIMETECHNO,Time Technoplast Limited
DBCORP,D.B.Corp Limited
ASHIANA,Ashiana Housing Limited
CONFIPET,Confidence Petroleum India Limited
DIAMONDYD,Prataap Snacks Limited
NUCLEUS,Nucleus Software Exports Limited
GREENPLY,Greenply Industries Limited
JPASSOCIAT,Jaiprakash Associates Limited
WENDT,Wendt (India) Limited
FINOPB,Fino Payments Bank Limited
FMGOETZE,Federal-Mogul Goetze (India) Limited.
SANGHIIND,Sanghi Industries Limited
VAKRANGEE,Vakrangee Limited
GNA,GNA Axles Limited
AMRUTANJAN,Amrutanjan Health Care Limited
EMUDHRA,eMudhra Limited
DATAMATICS,Datamatics Global Services Limited
SHARDAMOTR,Sharda Motor Industries Limited
IOLCP,IOL Chemicals and Pharmaceuticals Limited
LUMAXIND,Lumax Industries Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
STYLAMIND,Stylam Industries Limited
ANDHRAPAP,ANDHRA PAPER LIMITED
SOTL,Savita Oil Technologies Limited
ADFFOODS,ADF Foods Limited
VIDHIING,Vidhi Specialty Food Ingredients Limited
KABRAEXTRU,Kabra Extrusion Technik Limited
BEPL,Bhansali Engineering Polymers Limited
RUPA,Rupa & Company Limited
NACLIND,NACL Industries Limited
VSSL,Vardhman Special Steels Limited
VISHNU,Vishnu Chemicals Limited
DWARKESH,Dwarikesh Sugar Industries Limited
DHANI,Dhani Services Limited
BANCOINDIA,Banco Products (I) Limited
KINGFA,Kingfa Science & Technology (India) Limited
SUBEXLTD,Subex Limited
HINDOILEXP,Hindustan Oil Exploration Company Limited
RTNPOWER,RattanIndia Power Limited
VADILALIND,Vadilal Industries Limited
BBOX,Black Box Limited
ORCHPHARMA,Orchid Pharma Limited
PURVA,Puravankara Limited
COSMOFIRST,COSMO FIRST LIMITED
IMFA,Indian Metals & Ferro Alloys Limited
SUPRIYA,Supriya Lifescience Limited
SAKSOFT,Saksoft Limited
IIFLSEC,IIFL Securities Limited
SANGHVIMOV,Sanghvi Movers Limited
GOKULAGRO,Gokul Agro Resources Limited
ALEMBICLTD,Alembic Limited
VENUSPIPES,Venus Pipes & Tubes Limited
SEAMECLTD,Seamec Limited
TNPL,Tamil Nadu Newsprint & Papers Limited
KPIGREEN,KPI Green Energy Limited
BFINVEST,BF Investment Limited
SESHAPAPER,Seshasayee Paper and Boards Limited
DHAMPURSUG,Dhampur Sugar Mills Limited
ANDHRSUGAR,The Andhra Sugars Limited
KIRIINDUS,Kiri Industries Limited
TTKHLTCARE,TTK Healthcare Limited
CARYSIL,CARYSIL LIMITED
GOCLCORP,GOCL Corporation Limited
JSWISPL,JSW Ispat Special Products Limited
STERTOOLS,Sterling Tools Limited
SHALBY,Shalby Limited
TIDEWATER,Tide Water Oil Company (India) Limited
KRSNAA,Krsnaa Diagnostics Limited
KRISHANA,Krishana Phoschem Limited
HUHTAMAKI,Huhtamaki India Limited
BBL,Bharat Bijlee Limited
SEPC,SEPC Limited
ORISSAMINE,The Orissa Minerals Development Company Limited
FILATEX,Filatex India Limited
THEJO,Thejo Engineering Limited
APTECHT,Aptech Limited
ORIENTHOT,Oriental Hotels Limited
DCXINDIA,DCX Systems Limited
FOSECOIND,Foseco India Limited
GOLDIAM,Goldiam International Limited
SHANKARA,Shankara Building Products Limited
INSECTICID,Insecticides (India) Limited
THANGAMAYL,Thangamayil Jewellery Limited
SHK,S H Kelkar and Company Limited
TEXRAIL,Texmaco Rail & Engineering Limited
CANTABIL,Cantabil Retail India Limited
GALLANTT,Gallantt Ispat Limited
HERITGFOOD,Heritage Foods Limited
KCP,KCP Limited
MOREPENLAB,Morepen Laboratories Limited
GATI,GATI Limited
RAMASTEEL,Rama Steel Tubes Limited
HESTERBIO,Hester Biosciences Limited
NRBBEARING,NRB Bearing Limited
INDOSTAR,IndoStar Capital Finance Limited
MONTECARLO,Monte Carlo Fashions Limited
KSL,Kalyani Steels Limited
KDDL,KDDL Limited
TCPLPACK,TCPL Packaging Limited
MARATHON,Marathon Nextgen Realty Limited
ARVSMART,Arvind SmartSpaces Limited
DCW,DCW Limited
DEN,Den Networks Limited
STEELXIND,STEEL EXCHANGE INDIA LIMITED
EIHAHOTELS,EIH Associated Hotels Limited
IGPL,IG Petrochemicals Limited
NITINSPIN,Nitin Spinners Limited
EXPLEOSOL,Expleo Solutions Limited
VERANDA,Veranda Learning Solutions Limited
SALASAR,Salasar Techno Engineering Limited
STYRENIX,Styrenix Performance Materials Limited
ADORWELD,Ador Welding Limited
BHAGCHEM,Bhagiradha Chemicals & Industries Limited
PCJEWELLER,PC Jeweller Limited
GENESYS,Genesys International Corporation Limited
STOVEKRAFT,Stove Kraft Limited
RANEHOLDIN,Rane Holdings Limited
NDTV,New Delhi Television Limited
XPROINDIA,Xpro India Limited
MANORAMA,Manorama Industries Limited
GRWRHITECH,Garware Hi-Tech Films Limited
HARIOMPIPE,Hariom Pipe Industries Limited
SANDHAR,Sandhar Technologies Limited
AVTNPL,AVT Natural Products Limited
IWEL,Inox Wind Energy Limited
SJS,S.J.S. Enterprises Limited
EVERESTIND,Everest Industries Limited
FAIRCHEMOR,Fairchem Organics Limited
SASKEN,Sasken Technologies Limited
OAL,Oriental Aromatics Limited
NELCO,NELCO Limited
RIIL,Reliance Industrial Infrastructure Limited
SOLARA,Solara Active Pharma Sciences Limited
TAJGVK,Taj GVK Hotels & Resorts Limited
BOMDYEING,Bombay Dyeing & Mfg Company Limited
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
GOODLUCK,Goodluck India Limited
RPGLIFE,RPG Life Sciences Limited
PATELENG,Patel Engineering Limited
SPIC,Southern Petrochemicals Industries Corporation  Limited
INOXGREEN,Inox Green Energy Services Limited
GIPCL,Gujarat Industries Power Company Limited
UNIVCABLES,Universal Cables Limited
NSIL,Nalwa Sons Investments Limited
HMT,HMT Limited
MATRIMONY,Matrimony.Com Limited
MTNL,Mahanagar Telephone Nigam Limited
SDBL,Som Distilleries & Breweries Limited
VALIANTORG,Valiant Organics Limited
ARMANFIN,Arman Financial Services Limited
REPCOHOME,Repco Home Finance Limited
HERANBA,Heranba Industries Limited
BFUTILITIE,BF Utilities Limited
PRECWIRE,Precision Wires India Limited
AXITA,Axita Cotton Limited
GRMOVER,GRM Overseas Limited
GTPL,GTPL Hathway Limited
IGARASHI,Igarashi Motors India Limited
INFOBEAN,InfoBeans Technologies Limited
ALICON,Alicon Castalloy Limited
THEMISMED,Themis Medicare Limited
TVTODAY,TV Today Network Limited
WHEELS,Wheels India Limited
RPSGVENT,RPSG VENTURES LIMITED
RAMCOIND,Ramco Industries Limited
SMLISUZU,SML Isuzu Limited
AHL,Abans Holdings Limited
UNIENTER,Uniphos Enterprises Limited
SATIN,Satin Creditcare Network Limited
KUANTUM,Kuantum Papers Limited
GANESHBE,Ganesh Benzoplast Limited
SUVEN,Suven Life Sciences Limited
SATIA,Satia Industries Limited
GULPOLY,Gulshan Polyols Limited
UGARSUGAR,The Ugar Sugar Works Limited
MANALIPETC,Manali Petrochemicals Limited
PIXTRANS,Pix Transmissions Limited
SHRIRAMPPS,Shriram Properties Limited
RADIANTCMS,Radiant Cash Management Services Limited
PNBGILTS,PNB Gilts Limited
INDORAMA,Indo Rama Synthetics (India) Limited
ASHAPURMIN,Ashapura Minechem Limited
UGROCAP,Ugro Capital Limited
AXISCADES,AXISCADES Technologies Limited
HITECH,Hi-Tech Pipes Limited
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
SURYODAY,Suryoday Small Finance Bank Limited
EKC,Everest Kanto Cylinder Limited
JASH,Jash Engineering Limited
DPSCLTD,DPSC Limited
TARC,TARC Limited
BHARATWIRE,Bharat Wire Ropes Limited
EXCELINDUS,Excel Industries Limited
SPECIALITY,Speciality Restaurants Limited
ANUP,The Anup Engineering Limited
SKIPPER,Skipper Limited
AJMERA,Ajmera Realty & Infra India Limited
SHALPAINTS,Shalimar Paints Limited
GMBREW,GM Breweries Limited
SANGAMIND,Sangam (India) Limited
SHIVALIK,Shivalik Rasayan Limited
GMRP&UI,GMR Power and Urban Infra Limited
PENIND,Pennar Industries Limited
GEOJITFSL,Geojit Financial Services Limited
BCLIND,Bcl Industries Limited
DBOL,Dhampur Bio Organics Limited
SHAILY,Shaily Engineering Plastics Limited
LIKHITHA,Likhitha Infrastructure Limited
MADRASFERT,Madras Fertilizers Limited
STEELCAS,Steelcast Limited
MKPL,M K Proteins Limited
ROSSELLIND,Rossell India Limited
KITEX,Kitex Garments Limited
PRAKASH,Prakash Industries Limited
ARTEMISMED,Artemis Medicare Services Limited
RICOAUTO,Rico Auto Industries Limited
OMAXE,Omaxe Limited
CENTUM,Centum Electronics Limited
ROTO,Roto Pumps Limited
PRECAM,Precision Camshafts Limited
BIGBLOC,Bigbloc Construction Limited
SHREDIGCEM,Shree Digvijay Cement Co.Ltd
CLSEL,Chaman Lal Setia Exports Limited
GTLINFRA,GTL Infrastructure Limited
PGIL,Pearl Global Industries Limited
UTTAMSUGAR,Uttam Sugar Mills Limited
AVADHSUGAR,Avadh Sugar & Energy Limited
PITTIENG,Pitti Engineering Limited
5PAISA,5Paisa Capital Limited
NAHARSPING,Nahar Spinning Mills Limited
SPCENET,Spacenet Enterprises India Limited
SPORTKING,Sportking India Limited
DEEPINDS,Deep Industries Limited
PARAGMILK,Parag Milk Foods Limited
AGARIND,Agarwal Industrial Corporation Limited
CONTROLPR,Control Print Limited
BAJAJHCARE,Bajaj Healthcare Limited
KAMDHENU,Kamdhenu Limited
CHEMCON,Chemcon Speciality Chemicals Limited
GICHSGFIN,GIC Housing Finance Limited
MEDICAMEQ,Medicamen Biotech Limited
DLINKINDIA,D-Link (India) Limited
ARIHANTSUP,Arihant Superstructures Limited
VHL,Vardhman Holdings Limited
PFS,PTC India Financial Services Limited
HEXATRADEX,Hexa Tradex Limited
RILINFRA,Rachana Infrastructure Limited
CAPACITE,Capacit'e Infraprojects Limited
SPAL,S. P. Apparels Limited
NCLIND,NCL Industries Limited
63MOONS,63 moons technologies limited
NAVKARCORP,Navkar Corporation Limited
ORIENTPPR,Orient Paper & Industries Limited
DREDGECORP,Dredging Corporation of India Limited
AMBIKCO,Ambika Cotton Mills Limited
CENTRUM,Centrum Capital Limited
LINC,Linc Limited
RGL,Renaissance Global Limited
SCHAND,S Chand And Company Limited
NELCAST,Nelcast Limited
FAZE3Q,Faze Three Limited
KICL,Kalyani Investment Company Limited
DVL,Dhunseri Ventures Limited
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
POKARNA,Pokarna Limited
IFGLEXPOR,IFGL Refractories Limited
TRIL,Transformers And Rectifiers (India) Limited
CENTENKA,Century Enka Limited
SMCGLOBAL,SMC Global Securities Limited
ROHLTD,Royal Orchid Hotels Limited
INDNIPPON,India Nippon Electricals Limited
SHAKTIPUMP,Shakti Pumps (India) Limited
NGLFINE,NGL Fine-Chem Limited
IMPAL,India Motor Parts and Accessories Limited
BLISSGVS,Bliss GVS Pharma Limited
ALLSEC,Allsec Technologies Limited
ORIENTBELL,Orient Bell Limited
MANGLMCEM,Mangalam Cement Limited
SANDESH,The Sandesh Limited
BODALCHEM,Bodal Chemicals Limited
ESTER,Ester Industries Limited
ZOTA,Zota Health Care LImited
RSWM,RSWM Limited
INDRAMEDCO,Indraprastha Medical Corporation Limited
QUICKHEAL,Quick Heal Technologies Limited
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
AURIONPRO,Aurionpro Solutions Limited
GSLSU,Global Surfaces Limited
SASTASUNDR,Sastasundar Ventures Limited
MANAKSIA,Manaksia Limited
AWHCL,Antony Waste Handling Cell Limited
BLKASHYAP,B. L. Kashyap and Sons Limited
RAMRAT,Ram Ratna Wires Limited
JINDRILL,Jindal Drilling And Industries Limited
VIMTALABS,Vimta Labs Limited
CLOUD,Varanium Cloud Limited
DPABHUSHAN,D. P. Abhushan Limited
MOLDTECH,Mold-Tek Technologies Limited
ATULAUTO,Atul Auto Limited
KOKUYOCMLN,Kokuyo Camlin Limited
SIGACHI,Sigachi Industries Limited
HIMATSEIDE,Himatsingka Seide Limited
LINCOLN,Lincoln Pharmaceuticals Limited
GREENPOWER,Orient Green Power Company Limited
EMAMIPAP,Emami Paper Mills Limited
SATINDLTD,Sat Industries Limited
RAMCOSYS,Ramco Systems Limited
HPAL,HP Adhesives Limited
OCCL,Oriental Carbon & Chemicals Limited
FOCUS,Focus Lighting and Fixtures Limited
GEPIL,GE Power India Limited
SUTLEJTEX,Sutlej Textiles and Industries Limited
PANACEABIO,Panacea Biotec Limited
JAIBALAJI,Jai Balaji Industries Limited
RML,Rane (Madras) Limited
JETAIRWAYS,Jet Airways (India) Limited
TRACXN,Tracxn Technologies Limited
KHAICHEM,Khaitan Chemicals & Fertilizers Limited
TNPETRO,Tamilnadu PetroProducts Limited
ONWARDTEC,Onward Technologies Limited
TFCILTD,Tourism Finance Corporation of India Limited
ONMOBILE,OnMobile Global Limited
INNOVANA,Innovana Thinklabs Limited
GANDHITUBE,Gandhi Special Tubes Limited
TEXINFRA,Texmaco Infrastructure & Holdings Limited
MEDICO,Medico Remedies Limited
TVSELECT,TVS Electronics Limited
HEUBACHIND,Heubach Colorants India Limited
VINYLINDIA,Vinyl Chemicals (India) Limited
PARACABLES,Paramount Communications Limited
FOODSIN,Foods & Inns Limited
HLVLTD,HLV LIMITED
COFFEEDAY,Coffee Day Enterprises Limited
BETA,Beta Drugs Limited
APEX,Apex Frozen Foods Limited
YUKEN,Yuken India Limited
ELIN,Elin Electronics Limited
MONARCH,Monarch Networth Capital Limited
DMCC,DMCC SPECIALITY CHEMICALS LIMITED
CHEVIOT,Cheviot Company Limited
XCHANGING,Xchanging Solutions Limited
VISAKAIND,Visaka Industries Limited
SUMMITSEC,Summit Securities Limited
SUKHJITS,Sukhjit Starch & Chemicals Limited
INDIANHUME,Indian Hume Pipe Company Limited
JUBLINDS,Jubilant Industries Limited
ASALCBR,Associated Alcohols & Breweries Ltd.
DECCANCE,Deccan Cements Limited
JAYBARMARU,Jay Bharat Maruti Limited
COOLCAPS,Cool Caps Industries Limited
APOLLO,Apollo Micro Systems Limited
ELDEHSG,Eldeco Housing And Industries Limited
HERCULES,Hercules Hoists Limited
4THDIM,Fourth Dimension Solutions Limited
KRITI,Kriti Industries (India) Limited
AGSTRA,AGS Transact Technologies Limited
NAHARPOLY,Nahar Poly Films Limited
MANINDS,Man Industries (India) Limited
ENIL,Entertainment Network (India) Limited
SYNCOMF,Syncom Formulations (India) Limited
KAMOPAINTS,Kamdhenu Ventures Limited
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
SCPL,Sheetal Cool Products Limited
HPL,HPL Electric & Power Limited
INDOAMIN,Indo Amines Limited
DCMSRIND,DCM Shriram Industries Limited
MENONBE,Menon Bearings Limited
VASCONEQ,Vascon Engineers Limited
VLSFINANCE,VLS Finance Limited
BALAXI,BALAXI PHARMACEUTICALS LIMITED
ZEEMEDIA,Zee Media Corporation Limited
CREATIVE,Creative Newtech Limited
KRISHIVAL,Empyrean Cashews Limited
SNOWMAN,Snowman Logistics Limited
KOPRAN,Kopran Limited
SHREYAS,Shreyas Shipping & Logistics Limited
REFEX,Refex Industries Limited
KSOLVES,Ksolves India Limited
GFLLIMITED,GFL Limited
SPECTRUM,Spectrum Electrical Industries Limited
RUSHIL,Rushil Decor Limited
IRISDOREME,Iris Clothings Limited
BINDALAGRO,Oswal Chemicals & Fertilizers Limited
SELMC,SEL Manufacturing Company Limited
BHAGERIA,Bhageria Industries Limited
ZUARI,Zuari Agro Chemicals Limited
TALBROAUTO,Talbros Automotive Components Limited
RUBYMILLS,The Ruby Mills Limited
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited
DPWIRES,D P Wires Limited
SMSPHARMA,SMS Pharmaceuticals Limited
DHARMAJ,Dharmaj Crop Guard Limited
RBL,Rane Brake Lining Limited
GOYALALUM,Goyal Aluminiums Limited
NRL,Nupur Recyclers Limited
MIRZAINT,Mirza International Limited
VIKASLIFE,Vikas Lifecare Limited
WINDLAS,Windlas Biotech Limited
HITECHGEAR,The Hi-Tech Gears Limited
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
SPENCERS,Spencer's Retail Limited
KANORICHEM,Kanoria Chemicals & Industries Limited
JPOLYINVST,Jindal Poly Investment and Finance Company Limited
ASAL,Automotive Stampings and Assemblies Limited
SILVERTUC,Silver Touch Technologies Limited
3IINFOLTD,3i Infotech Limited
MALLCOM,Mallcom (India) Limited
CREST,Crest Ventures Limited
REPRO,Repro India Limited
MARINE,Marine Electricals (India) Limited
KECL,Kirloskar Electric Company Limited
DENORA,De Nora India Limited
EXXARO,Exxaro Tiles Limited
MAGADSUGAR,Magadh Sugar & Energy Limited
ASIANTILES,Asian Granito India Limited
JAYAGROGN,Jayant Agro Organics Limited
DIGISPICE,DiGiSPICE Technologies Limited
BBTCL,B&B Triplewall Containers Limited
PREMEXPLN,Premier Explosives Limited
SWELECTES,Swelect Energy Systems Limited
KELLTONTEC,Kellton Tech Solutions Limited
MUTHOOTCAP,Muthoot Capital Services Limited
APCL,Anjani Portland Cement Limited
ASIANENE,Asian Energy Services Limited
DONEAR,Donear Industries Limited
ADSL,Allied Digital Services Limited
BANSWRAS,Banswara Syntex Limited
NAHARCAP,Nahar Capital and Financial Services Limited
ICEMAKE,Ice Make Refrigeration Limited
BAIDFIN,Baid Finserv Limited
STCINDIA,The State Trading Corporation of India Limited
TBZ,Tribhovandas Bhimji Zaveri Limited
SALZERELEC,Salzer Electronics Limited
IFBAGRO,IFB Agro Industries Limited
PTL,PTL Enterprises Limited
ARIHANTCAP,Arihant Capital Markets Limited
CSLFINANCE,CSL Finance Limited
JSLL,Jeena Sikho Lifecare Limited
UNIVPHOTO,Universus Photo Imagings Limited
HARDWYN,Hardwyn India Limited
DSSL,Dynacons Systems & Solutions Limited
REVATHI,Revathi Equipment Limited
HCL-INSYS,HCL Infosystems Limited
PLASTIBLEN,Plastiblends India Limited
UNIDT,United Drilling Tools Limited
CAREERP,Career Point Limited
ARROWGREEN,Arrow Greentech Limited
SREEL,Sreeleathers Limited
SBC,SBC Exports Limited
RADIOCITY,Music Broadcast Limited
SERVOTECH,Servotech Power Systems Limited
SAKAR,Sakar Healthcare Limited
BALAJITELE,Balaji Telefilms Limited
NXTDIGITAL,NXTDIGITAL LIMITED
GOACARBON,Goa Carbon Limited
BIRLACABLE,Birla Cable Limited
RITCO,Ritco Logistics Limited
SELAN,Selan Exploration Technology Limited
ASCOM,Ascom Leasing & Investments Limited
OSIAHYPER,Osia Hyper Retail Limited
HINDCOMPOS,Hindustan Composites Limited
DHANBANK,Dhanlaxmi Bank Limited
DYCL,Dynamic Cables Limited
DHUNINV,Dhunseri Investments Limited
EIFFL,Euro India Fresh Foods Limited
MUNJALAU,Munjal Auto Industries Limited
NAHARINDUS,Nahar Industrial Enterprises Limited
DELPHIFX,DELPHI WORLD MONEY LIMITED
URJA,Urja Global Limited
PRIMESECU,Prime Securities Limited
NECLIFE,Nectar Lifesciences Limited
NBIFIN,N. B. I. Industrial Finance Company Limited
GRPLTD,GRP Limited
MAWANASUG,Mawana Sugars Limited
ZIMLAB,Zim Laboratories Limited
PDMJEPAPER,Pudumjee Paper Products Limited
ONEPOINT,One Point One Solutions Limited
MAXIND,Max India Limited
SHYAMCENT,Shyam Century Ferrous Limited
VARDHACRLC,Vardhman Acrylics Limited
RADHIKAJWE,Radhika Jeweltech Limited
NPST,Network People Services Technologies Limited
THEINVEST,The Investment Trust Of India Limited
HTMEDIA,HT Media Limited
NRAIL,N R Agarwal Industries Limited
RCOM,Reliance Communications Limited
DICIND,DIC India Limited
OSWALAGRO,Oswal Agro Mills Limited
POCL,Pondy Oxides & Chemicals Limited
AARTISURF,Aarti Surfactants Limited
SKMEGGPROD,SKM Egg Products Export (India) Limited
SOLEX,Solex Energy Limited
DEEPENR,DEEP ENERGY RESOURCES LIMITED
FCSSOFT,FCS Software Solutions Limited
MUNJALSHOW,Munjal Showa Limited
KOTHARIPRO,Kothari Products Limited
PONNIERODE,Ponni Sugars (Erode) Limited
CHEMBOND,Chembond Chemicals Ltd
USASEEDS,Upsurge Seeds Of Agriculture Limited
KERNEX,Kernex Microsystems (India) Limited
RANASUG,Rana Sugars Limited
CUPID,Cupid Limited
BGRENERGY,BGR Energy Systems Limited
GENUSPAPER,Genus Paper & Boards Limited
GSS,GSS Infotech Limited
PENINLAND,Peninsula Land Limited
JYOTISTRUC,Jyoti Structures Limited
ADVANIHOTR,Advani Hotels & Resorts (India) Limited
KAYA,Kaya Limited
KOTHARIPET,Kothari Petrochemicals Limited
LIBERTSHOE,Liberty Shoes Limited
KHADIM,Khadim India Limited
PPL,Prakash Pipes Limited
VIPCLOTHNG,VIP Clothing Limited
NDRAUTO,Ndr Auto Components Limited
PROZONINTU,Prozone Intu Properties Limited
INDOBORAX,Indo Borax & Chemicals Limited
CONSOFINVT,Consolidated Finvest & Holdings Limited
INDSWFTLAB,Ind-Swift Laboratories Limited
ZUARIIND,ZUARI INDUSTRIES LIMITED
GVKPIL,GVK Power & Infrastructure Limited
SBGLP,Suratwwala Business Group Limited
HIRECT,Hind Rectifiers Limited
CHEMFAB,Chemfab Alkalis Limited
GLOBAL,Global Education Limited
ANNAPURNA,Annapurna Swadisht Limited
INTLCONV,International Conveyors Limited
EMKAYTOOLS,Emkay Taps and Cutting Tools Limited
ORBTEXP,Orbit Exports Limited
SOUTHWEST,South West Pinnacle Exploration Limited
KAMATHOTEL,Kamat Hotels (I) Limited
RAJMET,Rajnandini Metal Limited
RAMAPHO,Rama Phosphates Limited
OMINFRAL,OM INFRA LIMITED
HMVL,Hindustan Media Ventures Limited
AYMSYNTEX,AYM Syntex Limited
MSPL,MSP Steel & Power Limited
WEALTH,Wealth First Portfolio Managers Limited
UNITECH,Unitech Limited
WEBELSOLAR,Websol Energy System Limited
NURECA,Nureca Limited
LYKALABS,Lyka Labs Limited
GKWLIMITED,GKW Limited
MHLXMIRU,Mahalaxmi Rubtech Limited
AURUM,Aurum PropTech Limited
SKYGOLD,Sky Gold Limited
ALBERTDAVD,Albert David Limited
SHIVAUM,Shiv Aum Steels Limited
PAVNAIND,Pavna Industries Limited
CINELINE,Cineline India Limited
KOTARISUG,Kothari Sugars And Chemicals Limited
SHEMAROO,Shemaroo Entertainment Limited
SILINV,SIL Investments Limited
SKP,SKP Bearing Industries Limited
MMP,MMP Industries Limited
EQUIPPP,Equippp Social Impact Technologies Limited
MANORG,Mangalam Organics Limited
CYBERTECH,Cybertech Systems And Software Limited
TRIGYN,Trigyn Technologies Limited
SINTERCOM,Sintercom India Limited
JINDALPHOT,Jindal Photo Limited
SARLAPOLY,Sarla Performance Fibers Limited
RUCHIRA,Ruchira Papers Limited
ESSENTIA,Integra Essentia Limited
MACPOWER,Macpower CNC Machines Limited
AUTOIND,Autoline Industries Limited
ORIENTABRA,Orient Abrasives Limited
APOLSINHOT,Apollo Sindoori Hotels Limited
DYNPRO,Dynemic Products Limited
CLEDUCATE,CL Educate Limited
PARSVNATH,Parsvnath Developers Limited
GSCLCEMENT,Gujarat Sidhee Cement Limited
MIRCELECTR,MIRC Electronics Limited
VISHWARAJ,Vishwaraj Sugar Industries Limited
HINDMOTORS,Hindustan Motors Limited
NINSYS,NINtec Systems Limited
NATHBIOGEN,Nath Bio-Genes (India) Limited
KNAGRI,KN Agri Resources Limited
GEECEE,GeeCee Ventures Limited
KCPSUGIND,KCP Sugar and Industries Corporation Limited
STEL,Stel Holdings Limited
PODDARMENT,Poddar Pigments Limited
KOTYARK,Kotyark Industries Limited
HITECHCORP,Hitech Corporation Limited
EUROBOND,Euro Panel Products Limited
MICEL,MIC Electronics Limited
ORICONENT,Oricon Enterprises Limited
20MICRONS,20 Microns Limited
MWL,Mangalam Worldwide Limited
MINDTECK,Mindteck (India) Limited
BMETRICS,Bombay Metrics Supply Chain Limited
GOKUL,Gokul Refoils and Solvent Limited
SECL,Salasar Exteriors and Contour Limited
DUGLOBAL,DUDIGITAL GLOBAL LIMITED
WEL,Wonder Electricals Limited
SUPERHOUSE,Superhouse Limited
LOYALTEX,Loyal Textile Mills Limited
BPL,BPL Limited
BIRLAMONEY,Aditya Birla Money Limited
GPTINFRA,GPT Infraprojects Limited
E2E,E2E Networks Limited
SHIVAMAUTO,Shivam Autotech Limited
DCMNVL,DCM Nouvelle Limited
MAZDA,Mazda Limited
MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited
WINDMACHIN,Windsor Machines Limited
BASML,Bannari Amman Spinning Mills Limited
WALCHANNAG,Walchandnagar Industries Limited
SEJALLTD,Sejal Glass Limited
UCALFUEL,Ucal Fuel Systems Limited
MAHEPC,Mahindra EPC Irrigation Limited
V2RETAIL,V2 Retail Limited
SAKUMA,Sakuma Exports Limited
VERTOZ,Vertoz Advertising Limited
KMSUGAR,K.M.Sugar Mills Limited
ASHIMASYN,Ashima Limited
UFO,UFO Moviez India Limited
VIKASECO,Vikas EcoTech Limited
SAKHTISUG,Sakthi Sugars Limited
MAHESHWARI,Maheshwari Logistics Limited
MAANALU,Maan Aluminium Limited
HUBTOWN,Hubtown Limited
REPL,Rudrabhishek Enterprises Limited
QMSMEDI,QMS Medical Allied Services Limited
MANAKSTEEL,Manaksia Steels Limited
EMAMIREAL,Emami Realty Limited
GENCON,Generic Engineering Construction and Projects Limited
STARPAPER,Star Paper Mills Limited
GUJAPOLLO,Gujarat Apollo Industries Limited
JAYSREETEA,Jayshree Tea & Industries Limited
NDL,Nandan Denim Limited
BCONCEPTS,Brand Concepts Limited
GIRRESORTS,GIR Natureview Resorts Limited
SMLT,Sarthak Metals Limited
TPLPLASTEH,TPL Plastech Limited
